product_id,brand_name,product_name
7896111996751,Impala,conjunto shampoo condicionador impala barbie 250ml cada
3045320022247,Bonne maman,geleia amora bonne maman 370g
7896007942534,Fiat lux,fosforo cozinha fortes fiat lux 200 palitos
7897173075170,Casa suíça,panettone 3 chocolates casa suica 500g
7891330019311,Neugebauer,chocolate neugebauer leite caramelo crocante 80g
7896306625046,Trento,chocolate trento massimo brownie 25g
7896623100509,Xandô,suco laranja integral xando 900ml
7896333049822,Tutti giorni,cha funcho tutti giorni 10 saches
7891035285189,Veja,limpador veja original limpeza pesada alcool 500ml embalagem promocional
7896034301922,Granja união,granja uniao merlot nacional vinho tinto seco 750ml
7899970400452,Hershey's,chocolate hershey s air leite 85g
7896403775491,Tramontina,mix grill oval ferro fundido madeira 38 5x19cm 10239 638 tramontina
2237330000006,Verde campo,queijo minas padrao light verde campo
7898206500874,Native,cafe instantaneo organico native 90g
7896079510372,Elegê,leite po desnatado instantaneo elege 400g
7896040709453,Casa km,amaciante roupas hipoalergenico vida macia casa km glicerina erva doce 1l
7898942930447,Trebeschi,milho sweet pronto trebeschi 450g
2379520000004,Gran selezione,assado tira bovino resfriado gran selezione
4006000159188,Nivea,protetor labial nivea disney princesa moana 4 8g
7894904678341,Seara,hamburguer x bacon hot hit congelado seara 145g
2030490000004,Hortifruti,melancia baby inteira
7896273809357,Keldog,bifinho caes keldog kelco adultos frango grelhado 60g
7891150099982,Seda,conjunto shampoo 300ml condicionador 190ml seda luminous uv
7898186214129,Florybal,confeito florybal chocolate misto 300g
7896030840159,Copobras,prato descartavel rosa 15cm copobras 10
7891024194652,Pinho sol,desinfetante pinho sol original 1l embalagem promocional
798675650018,Panfácil,farinha trigo fermento panfacil 1kg
7896002301510,Ana maria,bolinho chocolate ana maria 35g
7891172523335,Scott,pano reutilizavel duramax scott branco 2 rolos 58
7898349704535,Monello,petisco gatos monello bites saude oral frango maca 80g
7896001282353,Linea,adocante liquido eritritol sweet natural vegano linea 60ml
7891000307045,Nescafé,cafe soluvel matinal suave nescafe 40g
7506309805498,Always,absorvente always abas noites tranquilas suave 10
7896005802892,3 corações,cappuccino chocolate 3 coracoes 200g
7898578680006,Bodebrown,cerveja bodebrown perigosa imperial ipa lata 473ml
7896653702827,Flormel,barra doce leite zero acucar flormel 60g 3
7896045111794,3 corações,capsulas cafe latte vegano tres 3 coracoes 10
7891048045121,Dr.oetker,pudim caramelo dr oetker 50g
9310155520102,Fantastic,snack arroz fantastic cheese 100g
7896333067611,Marchand,copo infantil silicone amarelo marchand
7891037744509,Closeup,gel dental closeup liquifresh 100g
7896333039502,Tutti giorni,queijo parmesao ralado tutti giorni 100g
7896775179620,Guimarães,pacoca tablete guimaraes 180g
7896181700807,Dacolônia,mel dacolonia 250g
7896398344252,Multiflon,frigideira wok eko off white 28cm 83128 multiflon
7898009490020,Jumbo,palmito acai picado jumbo 300g
7891118026326,Arcor,bala sabor trufa 53 cacau butter toffees intense arcor 90g
7898970554202,Panine,biscoito doce goiabinha glace pepas panine 350g
7894900550030,Del valle,bebida frut uva del valle 1l
609963170975,Davozzi,caldo legumes davozzi 1l
7896803075788,Supra,racao caes sapeca supra adultos premium 1kg
7891143011069,Polenghi,queijo cheddar processado light sandwich in polenghi 144g
7896007548422,Huggies,fralda huggies maxima protecao xg 26
7896333022818,Tutti giorni,massa lasanha tutti giorni 500g
7891040102204,3m,kit notas adesivas 4 marcadores pagina papel adesivo colorido post it 3m 100 folhas
7897974400041,Rar,queijo tipo grana ralado gran formaggio rar 100g
7896262301022,Fruit-tella,bala morango fruit tella 40g
7896610901584,Excelsior,mortadela toucinho excelsior 400g
7622210528216,Lacta,chocolate lacta recheado ouro branco 98g
7895500764766,Arno,liquidificador arno power max marfim ln64 1400w 127v
195166122786,Play-doh,massinha modelar e4918 mini crazy cuts play doh
75076818,Rexona,desodorante creme antitranspirante rexona clinical classic 58g
7899706178167,Garnier,sabonete liquido facial garnier skinactive uniform matte 120g
7891000065440,Moça,leite condensado semidesnatado moca nestle caixa 395g
7896024760135,Piraquê,biscoito roladinho goiabinha piraque 75g
2009870000002,Hortifruti,pimentao verde
7896552908122,Qualicoco,agua coco integral qualicoco 200ml
7896002312493,Takis,salgadinho takis intense nacho 56g
7891361273935,Oxford,prato fundo porcelana maresia ryo 22 5cm oxford
7894650002520,Pato,bloco sanitario pato caixa acoplada pinho 40g
7896292600843,Superútil,sacos lixo rolo azul superutil 100l 15
7898268722177,Grano,abobora congelada grano 500g
